solver,setting,n,baseline_pct,single_pct,per_pct,broadcast_pct,none_pct
Gemma-4-31B-it,OmniMath,4181,69.39,17.01,6.41,2.87,4.33
gpt-oss-120b,OmniMath,4181,56.83,22.91,8.75,4.19,7.32
Gemma-4-31B-it,JEEBench,515,70.49,11.07,14.76,2.91,0.78
gpt-oss-120b,JEEBench,515,41.55,15.15,35.53,4.27,3.50
Gemma-4-31B-it,SciBench,565,70.27,9.38,11.68,2.12,6.55
gpt-oss-120b,SciBench,565,62.12,11.86,13.81,3.36,8.85
Gemma-4-31B-it,LAB-Bench strict,741,44.40,15.92,11.61,18.62,9.45
gpt-oss-120b,LAB-Bench strict,741,19.03,14.44,20.65,23.21,22.67
Gemma-4-31B-it,LAB-Bench text-no-tool,1542,41.96,34.05,10.83,9.53,3.63
gpt-oss-120b,LAB-Bench text-no-tool,1542,30.54,27.24,12.32,16.28,13.62
